stratum,convention,mu,campaign,control_campaign,pair_type,scale,T,H,S,eta_ratio,r,r_ci_lo,r_ci_hi,se_log_r,M_code,r_over_M,log2_r,log2_r_over_M,noise_eligible,momentum_point_id,control_point_id
nesterov_raw:mu0.9,nesterov_raw,0.9,G4C,G4C,within_campaign,1.7B,5,512,2560,0.1741615794978853,1.7416157949788533,1.5832698383676032,1.9450896582076456,0.039843900610865235,4.68559,0.3716961567228147,0.8004263967191038,-1.4278043238402378,True,G4C:1.7B:T5:mu0.9:raw:H512:S2560,G4C:1.7B:T5:mu0:mu0:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,5,512,2560,0.25544821780941435,2.554482178094144,2.4631796528539014,2.617684554020975,0.010974773864730404,4.68559,0.5451783399943537,1.3530308704939675,-0.8751998500653742,True,G6:135M:T5:mu0.9:raw:H512:S2560,G6:135M:T5:mu0:mu0:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v1,TP-v1,within_campaign,135M,5,512,2560,0.2511595896576313,2.5115958965763134,2.38286303916072,2.6099658419090734,0.016850417054357306,4.68559,0.5360255371418142,1.3286043603666422,-0.8996263601926995,True,TP-v1:135M:T5:mu0.9:raw:H512:S2560,TP-v1:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v2,TP-v2,within_campaign,135M,5,512,2560,0.24413384573315353,2.4413384573315358,2.2763997008914854,2.619844178770277,0.028150309402435122,4.68559,0.5210311737329847,1.2876723184147922,-0.9405584021445493,True,TP-v2:135M:T5:mu0.9:raw:H512:S2560,TP-v2:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,5,512,2560,0.25668217218777617,2.5668217218777625,2.488527059616377,2.6632794104276596,0.013136362723510674,4.68559,0.5478118490686898,1.359983097278907,-0.8682476232804344,True,TP-v3:135M:T5:mu0.9:raw:H512:S2560,TP-v3:135M:T5:mu0:corrected:H512:S2560;TP-v3:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,DISAMBIG,DISAMBIG,within_campaign,135M,5,1024,5120,0.2553198200329384,2.5531982003293847,2.392069745083378,2.701312501595095,0.02193777759634456,4.68559,0.5449043130810388,1.352305535995484,-0.8759251845638576,True,DISAMBIG:135M:T5:mu0.9:raw:H1024:S5120,DISAMBIG:135M:T5:mu0:mu0:H1024:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,5,1024,5120,0.24455321321136247,2.4455321321136254,2.3771066813596473,2.524449025011808,0.010868689488186386,4.68559,0.5219261890420683,1.2901484205278537,-0.9380823000314881,True,G6:135M:T5:mu0.9:raw:H1024:S5120,G6:135M:T5:mu0:mu0:H1024:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,DISAMBIG,DISAMBIG,within_campaign,135M,5,2048,10240,0.2374784778781606,2.3747847787816063,2.343107352465456,2.421221070969574,0.006389014600758585,4.68559,0.5068272680242203,1.2477967712735107,-0.9804339492858309,True,DISAMBIG:135M:T5:mu0.9:raw:H2048:S10240,DISAMBIG:135M:T5:mu0:mu0:H2048:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,5,2048,10240,0.23367422102258592,2.33674221022586,2.2770043505496558,2.406246869539424,0.010180950864590805,4.68559,0.49870821182089337,1.2244985845517666,-1.003732136007575,True,G6:135M:T5:mu0.9:raw:H2048:S10240,G6:135M:T5:mu0:mu0:H2048:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,G9B,G9B,within_campaign,7B,5,512,2560,0.2646768995634979,2.6467689956349796,2.6467689956349796,2.6467689956349796,,4.68559,0.5648742198175639,1.404232284975014,-0.8239984355843278,False,G9B:7B:T5:mu0.9:raw:H512:S2560,G9B:7B:T5:mu0:mu0:H512:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,10,256,2560,0.16558432716269117,1.655843271626912,1.616305462127885,1.6997402616106112,0.009423409682972627,6.861894039100001,0.24130994477496925,0.7275661257676793,-2.0510407223014164,True,G6:135M:T10:mu0.9:raw:H256:S2560,G6:135M:T10:mu0:mu0:H256:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,10,512,5120,0.15532538843701782,1.5532538843701786,1.5215433157491636,1.5840501175703352,0.0072888338204411375,6.861894039100001,0.22635935144429917,0.635293662169223,-2.143313185899873,True,G6:135M:T10:mu0.9:raw:H512:S5120,G6:135M:T10:mu0:mu0:H512:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-pilot,TP-pilot,within_campaign,135M,10,512,5120,0.16847401483240554,1.6847401483240558,1.62715111210802,1.747689698804079,0.015266316879847417,6.861894039100001,0.24552115476050468,0.7525260895473503,-2.0260807585217453,True,TP-pilot:135M:T10:mu0.9:raw:H512:S5120,TP-pilot:135M:T10:mu0:raw:H512:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,10,512,5120,0.1588336689831556,1.5883366898315563,1.5518043429622885,1.6302838144334473,0.008950073457814716,6.861894039100001,0.2314720514162706,0.6675167621432685,-2.1110900859258273,True,TP-v3:135M:T10:mu0.9:raw:H512:S5120,TP-v3:135M:T10:mu0:corrected:H512:S5120;TP-v3:135M:T10:mu0:raw:H512:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,10,1024,10240,0.14375742732244418,1.437574273224442,1.3991735559363772,1.466476654405547,0.008481163196996652,6.861894039100001,0.2095010889169884,0.5236364957748875,-2.2549703522942086,True,G6:135M:T10:mu0.9:raw:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,G4C,G4C,within_campaign,1.7B,20,512,10240,0.12806943474449328,1.280694347444933,1.1526725295265594,1.4766914905368518,0.04639348704805266,8.905810108684879,0.14380436274921352,0.3569262008616348,-2.7978206498390925,True,G4C:1.7B:T20:mu0.9:raw:H512:S10240,G4C:1.7B:T20:mu0:mu0:H512:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,20,128,2560,0.1168895020140616,1.1688950201406163,1.1307144409185856,1.2014892429598654,0.010984755044146172,8.905810108684879,0.13125083578873062,0.2251453655210223,-2.929601485179705,True,G6:135M:T20:mu0.9:raw:H128:S2560,G6:135M:T20:mu0:mu0:H128:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,20,256,5120,0.10550451841231757,1.055045184123176,1.0051770333986676,1.0823357393883024,0.013461923238232693,8.905810108684879,0.11846706489893648,0.07730478615003612,-3.077442064550691,True,G6:135M:T20:mu0.9:raw:H256:S5120,G6:135M:T20:mu0:mu0:H256:S5120
nesterov_raw:mu0.9,nesterov_raw,0.9,G6,G6,within_campaign,135M,20,512,10240,0.09248407039384726,0.9248407039384728,0.9047571166634502,0.9488624718880987,0.00886593763419639,8.905810108684879,0.1038468923828249,-0.11272319999221915,-3.2674700506929466,True,G6:135M:T20:mu0.9:raw:H512:S10240,G6:135M:T20:mu0:mu0:H512:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,20,512,10240,0.09898466130370795,0.9898466130370797,0.9705821762663066,1.0099185068854437,0.007280226336805236,8.905810108684879,0.11114616199505407,-0.014723112882478953,-3.169469963583206,True,TP-v3:135M:T20:mu0.9:raw:H512:S10240,TP-v3:135M:T20:mu0:corrected:H512:S10240;TP-v3:135M:T20:mu0:raw:H512:S10240
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v2,TP-v2,within_campaign,135M,40,64,2560,0.09964531442050892,0.9964531442050893,0.9185385360866601,1.1924516747146865,0.060204649812180336,9.86697205352709,0.1009887469833152,-0.005126127467043421,-3.3077335501858816,False,TP-v2:135M:T40:mu0.9:raw:H64:S2560,TP-v2:135M:T40:mu0:raw:H64:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v1,TP-v1,within_campaign,135M,160,16,2560,0.10265792727897555,1.0265792727897558,0.9941271906070969,1.0638198024010466,0.013068597946068404,9.999999570420036,0.10265793168895465,0.03784503713461683,-3.2840829957774558,True,TP-v1:135M:T160:mu0.9:raw:H16:S2560,TP-v1:135M:T160:mu0:raw:H16:S2560
nesterov_raw:mu0.9,nesterov_raw,0.9,TP-v2,TP-v2,within_campaign,135M,160,16,2560,0.10363947372772023,1.0363947372772024,1.020530571767769,1.049444850431894,0.005119902604206525,9.999999570420036,0.10363947817986457,0.051573594768662474,-3.27035443814341,True,TP-v2:135M:T160:mu0.9:raw:H16:S2560,TP-v2:135M:T160:mu0:raw:H16:S2560
nesterov_raw:mu0.95,nesterov_raw,0.95,G8,G8,within_campaign,135M,2,512,1024,0.4005413679574338,8.010827359148669,7.830590350752284,8.21669748249271,0.008705102686374403,2.8524999999999996,2.808353149570086,3.001951252034701,1.4897243655207446,True,G8:135M:T2:mu0.95:raw:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024
nesterov_raw:mu0.95,nesterov_raw,0.95,G8,G8,within_campaign,135M,5,512,2560,0.2262644409455872,4.52528881891174,4.3983575062679465,4.768083345077554,0.015576949436082819,5.298162187499999,0.8541242526678956,2.178009872707341,-0.22748213550009944,True,G8:135M:T5:mu0.95:raw:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560
nesterov_raw:mu0.95,nesterov_raw,0.95,TP-pilot,G12;G5B;G5B;G6;G8;TP-v1;TP-v2;TP-v3;TP-v3,cross_campaign,135M,5,512,2560,0.2560183844703328,5.120367689406652,4.893612322403774,5.417343303654142,0.009307698272947997,5.298162187499999,0.9664422318907452,2.3562474126934445,-0.049244595513995404,True,TP-pilot:135M:T5:mu0.95:raw:H512:S2560,G12:135M:T5:mu0:mu0:H512:S2560;G5B:135M:T5:mu0:snoo-a:H512:S2560;G5B:135M:T5:mu0:snoo-c:H512:S2560;G6:135M:T5:mu0:mu0:H512:S2560;G8:135M:T5:mu0:mu0:H512:S2560;TP-v1:135M:T5:mu0:raw:H512:S2560;TP-v2:135M:T5:mu0:raw:H512:S2560;TP-v3:135M:T5:mu0:corrected:H512:S2560;TP-v3:135M:T5:mu0:raw:H512:S2560
nesterov_raw:mu0.95,nesterov_raw,0.95,G8,G8,within_campaign,135M,20,512,10240,0.051959515697469164,1.0391903139493823,1.0313473035139833,1.0534012621162698,0.00416921378072054,13.188767474237691,0.07879358825449664,0.05545988893700368,-3.6657779531107546,True,G8:135M:T20:mu0.95:raw:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240
